week,meal_id,category,cuisine,center_id,center_type,city_code,op_area,checkout_price,base_price,discount,discount_percent,emailer_for_promotion,homepage_featured,prev_week_orders,rolling_3_orders,actual_num_orders,predicted_num_orders,absolute_error,error
132,1971,Sandwich,Italian,43,TYPE_A,590,5.1,204.7,324.04,119.34000000000003,0.3682878656955932,1,1,1714.0,949.6666666666666,13150,3139.4114,10010.588623046875,-10010.588623046875
132,1971,Sandwich,Italian,137,TYPE_A,590,4.4,171.72,316.22,144.50000000000003,0.4569603440642591,1,1,2526.0,1071.6666666666667,11056,3083.0273,7972.97265625,-7972.97265625
132,1971,Sandwich,Italian,13,TYPE_B,590,6.7,186.3,323.04,136.74,0.42329123328380386,1,1,459.0,508.6666666666667,8979,2751.9795,6227.0205078125,-6227.0205078125
132,1971,Sandwich,Italian,67,TYPE_B,638,7.0,170.78,310.4,139.61999999999998,0.4498067010309278,1,1,553.0,662.0,9019,3300.3726,5718.62744140625,-5718.62744140625
132,1971,Sandwich,Italian,80,TYPE_C,604,5.1,179.48,309.46,129.98,0.4200219737607445,1,1,973.0,468.0,7060,2331.1921,4728.807861328125,-4728.807861328125
133,1971,Sandwich,Italian,67,TYPE_B,638,7.0,186.27,311.4,125.12999999999997,0.40183044315992283,1,1,9019.0,3366.3333333333335,7803,3141.7822,4661.2177734375,-4661.2177734375
132,1971,Sandwich,Italian,104,TYPE_A,647,4.5,203.73,323.04,119.31000000000003,0.3693350668647846,1,1,622.0,347.3333333333333,6481,1846.6074,4634.392578125,-4634.392578125
133,1971,Sandwich,Italian,137,TYPE_A,590,4.4,181.42,317.22,135.80000000000004,0.4280940672088772,1,1,11056.0,4599.0,7926,3593.8684,4332.131591796875,-4332.131591796875
134,2290,Rice Bowl,Indian,13,TYPE_B,590,6.7,290.03,299.79,9.760000000000048,0.032556122619166905,1,1,2186.0,2173.3333333333335,7911,3634.5933,4276.40673828125,-4276.40673828125
122,1971,Sandwich,Italian,124,TYPE_C,590,4.0,194.03,322.04,128.01000000000002,0.3974972053161098,1,1,3768.0,1381.6666666666667,6695,2487.953,4207.047119140625,-4207.047119140625
134,2290,Rice Bowl,Indian,65,TYPE_A,602,4.8,260.96,260.96,0.0,0.0,1,1,891.0,896.0,6426,2257.6614,4168.338623046875,-4168.338623046875
128,1754,Sandwich,Italian,99,TYPE_A,596,4.5,215.4,320.16,104.76000000000002,0.3272113943028486,1,1,175.0,171.0,5427,1276.1028,4150.897216796875,-4150.897216796875
121,1971,Sandwich,Italian,43,TYPE_A,590,5.1,193.06,322.04,128.98000000000002,0.4005092535088809,1,1,352.0,446.0,7708,3642.3271,4065.6728515625,-4065.6728515625
132,1971,Sandwich,Italian,11,TYPE_A,679,3.7,196.91,301.7,104.78999999999999,0.3473317865429234,1,1,323.0,323.6666666666667,5804,1818.3864,3985.6136474609375,-3985.6136474609375
122,1971,Sandwich,Italian,86,TYPE_C,699,4.0,194.0,322.04,128.04000000000002,0.3975903614457832,1,1,3698.0,1444.3333333333333,7073,3101.745,3971.2548828125,-3971.2548828125
134,2290,Rice Bowl,Indian,137,TYPE_A,590,4.4,291.06,295.88,4.819999999999993,0.01629038799513314,1,1,1486.0,1486.0,7088,3141.315,3946.68505859375,-3946.68505859375
128,2826,Sandwich,Italian,99,TYPE_A,596,4.5,223.1,353.14,130.04,0.36823922523645014,1,1,607.0,635.0,5912,1999.9222,3912.0777587890625,-3912.0777587890625
134,2290,Rice Bowl,Indian,157,TYPE_A,609,4.1,216.31,286.15,69.83999999999997,0.24406779661016942,1,0,796.0,499.3333333333333,5577,1675.2438,3901.7562255859375,-3901.7562255859375
132,1971,Sandwich,Italian,36,TYPE_B,517,4.4,175.63,326.89,151.26,0.46272446388693445,1,1,243.0,238.66666666666666,5669,1812.747,3856.2530517578125,-3856.2530517578125
132,1971,Sandwich,Italian,124,TYPE_C,590,4.0,209.52,328.89,119.36999999999998,0.362948098148317,1,1,431.0,270.0,5102,1420.6133,3681.38671875,-3681.38671875
133,1971,Sandwich,Italian,13,TYPE_B,590,6.7,187.27,323.04,135.77,0.42028850916295196,1,1,8979.0,3267.6666666666665,6615,2939.264,3675.736083984375,-3675.736083984375
122,1971,Sandwich,Italian,80,TYPE_C,604,5.1,195.03,323.04,128.01000000000002,0.39626671619613674,1,1,3847.0,1413.0,6480,2870.5283,3609.4716796875,-3609.4716796875
130,1109,Rice Bowl,Indian,43,TYPE_A,590,5.1,227.01,273.6,46.59000000000003,0.17028508771929834,1,0,1322.0,1138.3333333333333,6171,2930.9443,3240.0556640625,-3240.0556640625
132,1971,Sandwich,Italian,51,TYPE_A,638,7.0,187.27,322.04,134.77,0.4184883865358341,1,1,1068.0,572.6666666666666,5360,2132.5034,3227.49658203125,-3227.49658203125
134,2290,Rice Bowl,Indian,152,TYPE_B,576,4.0,259.96,259.96,0.0,0.0,1,1,933.0,703.3333333333334,4766,1639.605,3126.39501953125,-3126.39501953125
117,2490,Salad,Italian,43,TYPE_A,590,5.1,183.33,281.3,97.97,0.3482758620689655,1,1,248.0972899159664,248.0972899159664,5050,1988.0465,3061.9534912109375,-3061.9534912109375
121,1971,Sandwich,Italian,99,TYPE_A,596,4.5,194.06,322.04,127.98000000000002,0.3974040491864365,1,1,54.0,58.0,4630,1595.6464,3034.3536376953125,-3034.3536376953125
132,1971,Sandwich,Italian,99,TYPE_A,596,4.5,193.09,324.04,130.95000000000002,0.4041167757067029,1,0,285.0,311.6666666666667,5143,2121.579,3021.4208984375,-3021.4208984375
119,1109,Rice Bowl,Indian,43,TYPE_A,590,5.1,264.84,289.09,24.25,0.08388391158462763,1,1,1473.0,1357.0,5778,2813.1123,2964.8876953125,-2964.8876953125
122,1971,Sandwich,Italian,43,TYPE_A,590,5.1,192.06,323.04,130.98000000000002,0.4054606240713225,1,0,7708.0,2817.6666666666665,8140,5267.5146,2872.4853515625,-2872.4853515625
